date,lstm_prob,lstm_pred,actual_regime
2022-02-02,0.42486104,0,1
2022-02-03,0.34067422,0,1
2022-02-04,0.31882194,0,1
2022-02-07,0.43783987,0,1
2022-02-08,0.3824992,0,1
2022-02-09,0.41263452,0,0
2022-02-10,0.3612584,0,1
2022-02-11,0.32189018,0,1
2022-02-14,0.37779406,0,1
2022-02-15,0.71121633,1,1
2022-02-16,0.69423175,1,1
2022-02-17,0.6467115,1,1
2022-02-18,0.7125711,1,1
2022-02-22,0.85443395,1,1
2022-02-23,0.86876893,1,1
2022-02-24,0.85203165,1,1
2022-02-25,0.8781918,1,1
2022-02-28,0.90184504,1,1
2022-03-01,0.85827136,1,1
2022-03-02,0.9310278,1,1
2022-03-03,0.95279974,1,1
2022-03-04,0.90497863,1,1
2022-03-07,0.9093681,1,1
2022-03-08,0.93444324,1,1
2022-03-09,0.9461737,1,1
2022-03-10,0.9338957,1,1
2022-03-11,0.9093094,1,1
2022-03-14,0.90595335,1,1
2022-03-15,0.91152424,1,1
2022-03-16,0.87399954,1,1
2022-03-17,0.8690928,1,1
2022-03-18,0.81350327,1,1
2022-03-21,0.7828671,1,1
2022-03-22,0.7371088,1,1
2022-03-23,0.68935114,1,1
2022-03-24,0.668833,1,1
2022-03-25,0.7622947,1,1
2022-03-28,0.74366975,1,0
2022-03-29,0.68829066,1,0
2022-03-30,0.61375755,1,0
2022-03-31,0.5595665,1,1
2022-04-01,0.68318516,1,0
2022-04-04,0.78655624,1,0
2022-04-05,0.70876366,1,1
2022-04-06,0.69038737,1,1
2022-04-07,0.71337485,1,1
2022-04-08,0.7854874,1,1
2022-04-11,0.80986404,1,1
2022-04-12,0.7785254,1,1
2022-04-13,0.8609464,1,1
2022-04-14,0.9148321,1,1
2022-04-18,0.892337,1,1
2022-04-19,0.8654326,1,1
2022-04-20,0.86248577,1,1
2022-04-21,0.76115,1,1
2022-04-22,0.7438454,1,1
2022-04-25,0.71560967,1,1
2022-04-26,0.82071775,1,1
2022-04-27,0.86003476,1,1
2022-04-28,0.93548894,1,1
2022-04-29,0.9094799,1,1
2022-05-02,0.86349905,1,1
2022-05-03,0.89182323,1,1
2022-05-04,0.88985753,1,1
2022-05-05,0.854782,1,1
2022-05-06,0.8548709,1,1
2022-05-09,0.89807034,1,1
2022-05-10,0.9141537,1,1
2022-05-11,0.9656142,1,1
2022-05-12,0.95834494,1,1
2022-05-13,0.9582416,1,1
2022-05-16,0.9710084,1,1
2022-05-17,0.9619648,1,1
2022-05-18,0.9699017,1,1
2022-05-19,0.95467335,1,1
2022-05-20,0.9763416,1,1
2022-05-23,0.9794642,1,1
2022-05-24,0.97925127,1,1
2022-05-25,0.9736129,1,1
2022-05-26,0.9841362,1,1
2022-05-27,0.98081964,1,1
2022-05-31,0.97980267,1,1
2022-06-01,0.97699475,1,1
2022-06-02,0.97424364,1,1
2022-06-03,0.9665863,1,1
2022-06-06,0.97002304,1,1
2022-06-07,0.97365475,1,1
2022-06-08,0.9692118,1,1
2022-06-09,0.96418667,1,1
2022-06-10,0.96453995,1,1
2022-06-13,0.9680766,1,1
2022-06-14,0.9464628,1,1
2022-06-15,0.9155766,1,1
2022-06-16,0.9234713,1,1
2022-06-17,0.96553826,1,1
2022-06-21,0.9631028,1,1
2022-06-22,0.9570311,1,1
2022-06-23,0.94552267,1,1
2022-06-24,0.96862316,1,1
2022-06-27,0.96619487,1,1
2022-06-28,0.9555958,1,1
2022-06-29,0.95623034,1,1
2022-06-30,0.96750766,1,1
2022-07-01,0.97196084,1,1
2022-07-05,0.9814248,1,1
2022-07-06,0.9803612,1,1
2022-07-07,0.9780205,1,1
2022-07-08,0.9652676,1,1
2022-07-11,0.96040684,1,1
2022-07-12,0.95392334,1,1
2022-07-13,0.9696462,1,1
2022-07-14,0.9744712,1,1
2022-07-15,0.96294826,1,1
2022-07-18,0.9604872,1,1
2022-07-19,0.950906,1,1
2022-07-20,0.94710475,1,1
2022-07-21,0.917789,1,1
2022-07-22,0.905302,1,1
2022-07-25,0.9265444,1,1
2022-07-26,0.94946957,1,1
2022-07-27,0.9427782,1,1
2022-07-28,0.94101185,1,1
2022-07-29,0.9275549,1,1
2022-08-01,0.9248219,1,1
2022-08-02,0.8649339,1,1
2022-08-03,0.8690657,1,1
2022-08-04,0.7916912,1,1
2022-08-05,0.733033,1,1
2022-08-08,0.776559,1,1
2022-08-09,0.6673481,1,1
2022-08-10,0.6520104,1,0
2022-08-11,0.6031152,1,1
2022-08-12,0.56425846,1,0
2022-08-15,0.58729047,1,0
2022-08-16,0.5272472,1,0
2022-08-17,0.56425166,1,0
2022-08-18,0.54349446,1,0
2022-08-19,0.53519464,1,1
2022-08-22,0.5510249,1,1
2022-08-23,0.587031,1,1
2022-08-24,0.6603261,1,1
2022-08-25,0.7096054,1,1
2022-08-26,0.6494521,1,1
2022-08-29,0.59532315,1,1
2022-08-30,0.74641144,1,1
2022-08-31,0.7470938,1,1
2022-09-01,0.75915384,1,1
2022-09-02,0.79653484,1,1
2022-09-06,0.7689985,1,1
2022-09-07,0.8633683,1,1
2022-09-08,0.83878964,1,1
2022-09-09,0.820953,1,1
2022-09-12,0.79802513,1,1
2022-09-13,0.7151717,1,1
2022-09-14,0.7100223,1,1
2022-09-15,0.74977773,1,1
2022-09-16,0.73839974,1,1
2022-09-19,0.727485,1,1
2022-09-20,0.7884479,1,1
2022-09-21,0.72371817,1,1
2022-09-22,0.7664155,1,1
2022-09-23,0.802388,1,1
2022-09-26,0.7963355,1,1
2022-09-27,0.816489,1,1
2022-09-28,0.8048294,1,1
2022-09-29,0.8270215,1,1
2022-09-30,0.914817,1,1
2022-10-03,0.8994968,1,1
2022-10-04,0.8937768,1,1
2022-10-05,0.9087971,1,1
2022-10-06,0.8884486,1,1
2022-10-07,0.88927823,1,1
2022-10-10,0.8990535,1,1
2022-10-11,0.92393154,1,1
2022-10-12,0.94240373,1,1
2022-10-13,0.9542166,1,1
2022-10-14,0.9597773,1,1
2022-10-17,0.9159929,1,1
2022-10-18,0.93344575,1,1
2022-10-19,0.93471926,1,1
2022-10-20,0.9368883,1,1
2022-10-21,0.923988,1,1
2022-10-24,0.92454803,1,1
2022-10-25,0.95046526,1,1
2022-10-26,0.9432674,1,1
2022-10-27,0.95273256,1,1
2022-10-28,0.94986767,1,1
2022-10-31,0.9653728,1,1
2022-11-01,0.9406777,1,1
2022-11-02,0.9316465,1,1
2022-11-03,0.931702,1,1
2022-11-04,0.9302626,1,1
2022-11-07,0.90544254,1,1
2022-11-08,0.9148759,1,1
2022-11-09,0.8907912,1,1
2022-11-10,0.911298,1,1
2022-11-11,0.94625324,1,1
2022-11-14,0.9590679,1,1
2022-11-15,0.9490128,1,1
2022-11-16,0.9456252,1,1
2022-11-17,0.95326334,1,1
2022-11-18,0.9602578,1,1
2022-11-21,0.9488206,1,1
2022-11-22,0.93525124,1,1
2022-11-23,0.9452361,1,1
2022-11-25,0.94319844,1,1
2022-11-28,0.9389041,1,1
2022-11-29,0.9512817,1,1
2022-11-30,0.9569587,1,1
2022-12-01,0.95874125,1,0
2022-12-02,0.9649354,1,0
2022-12-05,0.970288,1,1
2022-12-06,0.9617182,1,1
2022-12-07,0.95268667,1,1
2022-12-08,0.9708528,1,1
2022-12-09,0.9744907,1,1
2022-12-12,0.9645603,1,1
2022-12-13,0.9661374,1,1
2022-12-14,0.95543724,1,1
2022-12-15,0.9666402,1,1
2022-12-16,0.95785666,1,1
2022-12-19,0.9542772,1,1
2022-12-20,0.9627995,1,1
2022-12-21,0.9521275,1,1
2022-12-22,0.951521,1,1
2022-12-23,0.94845605,1,1
2022-12-27,0.9483401,1,1
2022-12-28,0.92818534,1,1
2022-12-29,0.9311594,1,1
2022-12-30,0.9380165,1,1
2023-01-03,0.917032,1,1
2023-01-04,0.87466925,1,1
2023-01-05,0.8892602,1,1
2023-01-06,0.88066286,1,1
2023-01-09,0.8063671,1,1
2023-01-10,0.8459953,1,1
2023-01-11,0.8556675,1,1
2023-01-12,0.8120609,1,0
2023-01-13,0.82355595,1,0
2023-01-17,0.8176033,1,0
2023-01-18,0.7575799,1,1
2023-01-19,0.774229,1,1
2023-01-20,0.8817154,1,0
2023-01-23,0.8742828,1,0
2023-01-24,0.81686103,1,0
2023-01-25,0.75022286,1,0
2023-01-26,0.77775615,1,0
2023-01-27,0.79114157,1,0
2023-01-30,0.70650285,1,0
2023-01-31,0.65278465,1,0
2023-02-01,0.66443074,1,0
2023-02-02,0.65705335,1,0
2023-02-03,0.6848064,1,0
2023-02-06,0.62782127,1,0
2023-02-07,0.5370061,1,0
2023-02-08,0.44623476,0,0
2023-02-09,0.36442348,0,1
2023-02-10,0.46805272,0,1
2023-02-13,0.48600274,0,1
2023-02-14,0.46066815,0,0
2023-02-15,0.41601098,0,0
2023-02-16,0.33233175,0,1
2023-02-17,0.28146297,0,1
2023-02-21,0.3709646,0,1
2023-02-22,0.4471914,0,1
2023-02-23,0.51556987,1,1
2023-02-24,0.5092123,1,1
2023-02-27,0.49001977,0,1
2023-02-28,0.45627722,0,1
2023-03-01,0.43365902,0,1
2023-03-02,0.4214483,0,0
2023-03-03,0.36123177,0,0
2023-03-06,0.31934258,0,0
2023-03-07,0.30250823,0,0
2023-03-08,0.2944045,0,0
2023-03-09,0.3371423,0,1
2023-03-10,0.30950728,0,1
2023-03-13,0.63041514,1,1
2023-03-14,0.9050267,1,1
2023-03-15,0.96572566,1,1
2023-03-16,0.8994965,1,1
2023-03-17,0.9625711,1,1
2023-03-20,0.89260596,1,1
2023-03-21,0.96154225,1,1
2023-03-22,0.92260563,1,1
2023-03-23,0.8407311,1,1
2023-03-24,0.9302811,1,1
2023-03-27,0.95443124,1,1
2023-03-28,0.9391443,1,0
2023-03-29,0.8905191,1,0
2023-03-30,0.85778546,1,0
2023-03-31,0.79666793,1,0
2023-04-03,0.763746,1,0
2023-04-04,0.75606745,1,0
2023-04-05,0.7980138,1,0
2023-04-06,0.8729141,1,0
2023-04-10,0.899121,1,0
2023-04-11,0.86175036,1,0
2023-04-12,0.75362384,1,0
2023-04-13,0.6713302,1,0
2023-04-14,0.7462912,1,0
2023-04-17,0.64063,1,0
2023-04-18,0.5453729,1,0
2023-04-19,0.3900479,0,0
2023-04-20,0.35166916,0,0
2023-04-21,0.30957797,0,0
2023-04-24,0.3797169,0,0
2023-04-25,0.29686552,0,0
2023-04-26,0.30702123,0,0
2023-04-27,0.6957502,1,0
2023-04-28,0.67839783,1,0
2023-05-01,0.5112494,1,0
2023-05-02,0.47127217,0,0
2023-05-03,0.39069954,0,0
2023-05-04,0.6842344,1,1
2023-05-05,0.759571,1,0
2023-05-08,0.85479033,1,0
2023-05-09,0.70760775,1,0
2023-05-10,0.62786585,1,0
2023-05-11,0.6151763,1,0
2023-05-12,0.6835605,1,0
2023-05-15,0.6699023,1,0
2023-05-16,0.57857496,1,0
2023-05-17,0.5714806,1,0
2023-05-18,0.52143353,1,0
2023-05-19,0.4043432,0,0
2023-05-22,0.29926017,0,0
2023-05-23,0.2736695,0,0
2023-05-24,0.26638836,0,1
2023-05-25,0.319929,0,0
2023-05-26,0.34368187,0,0
2023-05-30,0.2965223,0,0
2023-05-31,0.24226964,0,0
2023-06-01,0.31097582,0,0
2023-06-02,0.37624002,0,0
2023-06-05,0.33658323,0,0
2023-06-06,0.24288982,0,0
2023-06-07,0.25904164,0,0
2023-06-08,0.22156565,0,0
2023-06-09,0.20403303,0,0
2023-06-12,0.20021771,0,0
2023-06-13,0.1794689,0,0
2023-06-14,0.21293311,0,0
2023-06-15,0.17796575,0,0
2023-06-16,0.16175207,0,0
2023-06-20,0.2565777,0,0
2023-06-21,0.22065854,0,0
2023-06-22,0.24005264,0,0
2023-06-23,0.24871813,0,0
2023-06-26,0.20008709,0,0
2023-06-27,0.26518318,0,0
2023-06-28,0.3542444,0,0
2023-06-29,0.2704353,0,0
2023-06-30,0.27820924,0,0
2023-07-03,0.21888633,0,0
